# mdm(GeV)	 mAp(GeV)	 Number of Signal Events
3.8361e-03	1.1517e-03	0.0000e+00
4.0182e-03	1.1517e-03	0.0000e+00
4.2088e-03	1.1517e-03	0.0000e+00
4.4085e-03	1.1517e-03	0.0000e+00
4.6177e-03	1.1517e-03	0.0000e+00
4.8369e-03	1.1517e-03	0.0000e+00
5.0664e-03	1.1517e-03	0.0000e+00
5.3068e-03	1.1517e-03	0.0000e+00
5.5586e-03	1.1517e-03	0.0000e+00
5.8224e-03	1.1517e-03	0.0000e+00
6.0987e-03	1.1517e-03	0.0000e+00
6.3881e-03	1.1517e-03	0.0000e+00
6.6912e-03	1.1517e-03	0.0000e+00
7.0087e-03	1.1517e-03	0.0000e+00
7.3413e-03	1.1517e-03	0.0000e+00
7.6896e-03	1.1517e-03	0.0000e+00
8.0545e-03	1.1517e-03	0.0000e+00
8.4367e-03	1.1517e-03	0.0000e+00
8.8371e-03	1.1517e-03	0.0000e+00
9.2564e-03	1.1517e-03	0.0000e+00
9.6957e-03	1.1517e-03	0.0000e+00
1.0156e-02	1.1517e-03	0.0000e+00
1.0638e-02	1.1517e-03	0.0000e+00
1.1142e-02	1.1517e-03	0.0000e+00
1.1671e-02	1.1517e-03	0.0000e+00
1.2225e-02	1.1517e-03	0.0000e+00
1.2805e-02	1.1517e-03	0.0000e+00
1.3413e-02	1.1517e-03	0.0000e+00
1.4049e-02	1.1517e-03	0.0000e+00
1.4716e-02	1.1517e-03	0.0000e+00
1.5414e-02	1.1517e-03	0.0000e+00
1.6146e-02	1.1517e-03	0.0000e+00
1.6912e-02	1.1517e-03	0.0000e+00
1.7714e-02	1.1517e-03	0.0000e+00
1.8555e-02	1.1517e-03	0.0000e+00
1.9435e-02	1.1517e-03	0.0000e+00
2.0358e-02	1.1517e-03	0.0000e+00
2.1324e-02	1.1517e-03	0.0000e+00
2.2335e-02	1.1517e-03	0.0000e+00
2.3395e-02	1.1517e-03	0.0000e+00
2.4505e-02	1.1517e-03	0.0000e+00
